family,short_name,description,source
RF02542,RF02542,RF02542,fallback
RF02543,RF02543,RF02543,fallback
RF02552,RF02552,RF02552,fallback
RF02553,RF02553,RF02553,fallback
RF02564,"Escherichia coli 'BL21-Gold(DE3)pLysS AG', complete genome","Escherichia coli 'BL21-Gold(DE3)pLysS AG', complete genome",header
RF02566,"Mycobacterium fortuitum strain CT6, complete genome","Mycobacterium fortuitum strain CT6, complete genome",header
RF02577,"Staphylococcus aureus subsp. aureus NCTC 8325, complete genome","Staphylococcus aureus subsp. aureus NCTC 8325, complete genome",header
RF02584,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 12, whol","Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 12, whole genome shotgun sequence",header
RF02598,"Human herpesvirus 4 DNA, complete genome, strain: HN12","Human herpesvirus 4 DNA, complete genome, strain: HN12",header
RF02600,"Ochrobactrum anthropi ATCC 49188 chromosome 2, complete sequence","Ochrobactrum anthropi ATCC 49188 chromosome 2, complete sequence",header
RF02605,RF02605,RF02605,fallback
RF02625,"Trichonephila clavata DNA, scaffold20978, whole genome shotgun sequence","Trichonephila clavata DNA, scaffold20978, whole genome shotgun sequence",header
RF02645,"Ruegeria pomeroyi DSS-3, complete genome","Ruegeria pomeroyi DSS-3, complete genome",header
RF02646,"Ruegeria pomeroyi DSS-3, complete genome","Ruegeria pomeroyi DSS-3, complete genome",header
RF02647,"Ruegeria pomeroyi DSS-3, complete genome","Ruegeria pomeroyi DSS-3, complete genome",header
RF02656,"Halobacterium hubeiense strain JI20-1 genome assembly, chromosome: I","Halobacterium hubeiense strain JI20-1 genome assembly, chromosome: I",header
RF02673,RF02673,RF02673,fallback
RF02674,Salmonella enterica subsp. enterica serovar Poona strain 22sa NODE_272_length_31,"Salmonella enterica subsp. enterica serovar Poona strain 22sa NODE_272_length_3139_cov_2.94024, whole genome shotgun sequence",header
RF02678,RF02678,RF02678,fallback
RF02679,RF02679,RF02679,fallback
RF02681,RF02681,RF02681,fallback
RF02682,RF02682,RF02682,fallback
RF02683,RF02683,RF02683,fallback
RF02684,RF02684,RF02684,fallback
RF02687,RF02687,RF02687,fallback
RF02688,RF02688,RF02688,fallback
RF02692,RF02692,RF02692,fallback
RF02701,RF02701,RF02701,fallback
RF02723,RF02723,RF02723,fallback
RF02724,RF02724,RF02724,fallback
RF02725,RF02725,RF02725,fallback
RF02735,"Saccharopolyspora sp. ASAGF58 chromosome, complete genome","Saccharopolyspora sp. ASAGF58 chromosome, complete genome",header
RF02736,"Brenneria rubrifaciens strain 6D370 chromosome, complete genome","Brenneria rubrifaciens strain 6D370 chromosome, complete genome",header
RF02744,"Brenneria goodwinii genome assembly B_goodwinii_PB, contig Contig, whole genome","Brenneria goodwinii genome assembly B_goodwinii_PB, contig Contig, whole genome shotgun sequence",header
RF02751,"Shigella flexneri 2a str. 301, complete genome","Shigella flexneri 2a str. 301, complete genome",header
RF02768,RF02768,RF02768,fallback
RF02770,RF02770,RF02770,fallback
RF02773,RF02773,RF02773,fallback
RF02782,RF02782,RF02782,fallback
RF02784,RF02784,RF02784,fallback
RF02790,RF02790,RF02790,fallback
RF02812,"Pseudomonas panipatensis strain CCM 7469 genome assembly, contig: Ga0104674_108,","Pseudomonas panipatensis strain CCM 7469 genome assembly, contig: Ga0104674_108, whole genome shotgun sequence",header
RF02819,RF02819,RF02819,fallback
RF02820,"Vibrio cholerae O1 biovar eltor str. N16961 chromosome I, complete sequence","Vibrio cholerae O1 biovar eltor str. N16961 chromosome I, complete sequence",header
RF02822,"Streptococcus pneumoniae TIGR4, complete genome","Streptococcus pneumoniae TIGR4, complete genome",header
