family,short_name,description,source
RF03625,"Nicotiana sylvestris unplaced genomic scaffold, Nsyl Nsyl_scaffold17310, whole g","Nicotiana sylvestris unplaced genomic scaffold, Nsyl Nsyl_scaffold17310, whole genome shotgun sequence",header
RF03632,RF03632,RF03632,fallback
RF03653,RF03653,RF03653,fallback
RF03662,RF03662,RF03662,fallback
RF03664,"Prunus dulcis genome assembly, chromosome: 1, whole genome shotgun sequence","Prunus dulcis genome assembly, chromosome: 1, whole genome shotgun sequence",header
RF03665,"Glycine max cultivar Williams 82 chromosome 7, whole genome shotgun sequence","Glycine max cultivar Williams 82 chromosome 7, whole genome shotgun sequence",header
RF03668,RF03668,RF03668,fallback
RF03673,"Bombyx mori p50T DNA, chromosome 1, draft genome sequence, whole genome shotgun","Bombyx mori p50T DNA, chromosome 1, draft genome sequence, whole genome shotgun sequence",header
RF03674,"Sorghum bicolor cultivar BTx623 chromosome 7, whole genome shotgun sequence","Sorghum bicolor cultivar BTx623 chromosome 7, whole genome shotgun sequence",header
RF03676,"Oryza sativa Japonica Group DNA, chromosome 11, cultivar: Nipponbare, complete s","Oryza sativa Japonica Group DNA, chromosome 11, cultivar: Nipponbare, complete sequence",header
RF03690,"Equus caballus isolate Twilight breed thoroughbred chromosome 1, whole genome sh","Equus caballus isolate Twilight breed thoroughbred chromosome 1, whole genome shotgun sequence",header
RF03691,RF03691,RF03691,fallback
RF03692,RF03692,RF03692,fallback
RF03695,RF03695,RF03695,fallback
RF03697,Astyanax mexicanus isolate Rio Sabinas/Rio Valles surface cross Unplaced_Scaffol,"Astyanax mexicanus isolate Rio Sabinas/Rio Valles surface cross Unplaced_Scaffold_581, whole genome shotgun sequence",header
RF03700,"Nephila pilipes DNA, scaffold22799, whole genome shotgun sequence","Nephila pilipes DNA, scaffold22799, whole genome shotgun sequence",header
RF03710,"Phaethon lepturus isolate BGI_N335 unplaced genomic scaffold scaffold24893, whol","Phaethon lepturus isolate BGI_N335 unplaced genomic scaffold scaffold24893, whole genome shotgun sequence",header
RF03712,"Populus trichocarpa isolate Nisqually-1 chromosome 15, whole genome shotgun sequ","Populus trichocarpa isolate Nisqually-1 chromosome 15, whole genome shotgun sequence",header
RF03749,"Medicago truncatula strain A17 chromosome 8, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 8, whole genome shotgun sequence",header
RF03752,"Medicago truncatula strain A17 chromosome 4, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 4, whole genome shotgun sequence",header
RF03759,"Gossypium mustelinum isolate 1408120.09 chromosome D04, whole genome shotgun seq","Gossypium mustelinum isolate 1408120.09 chromosome D04, whole genome shotgun sequence",header
RF03768,RF03768,RF03768,fallback
RF03778,RF03778,RF03778,fallback
RF03779,RF03779,RF03779,fallback
RF03780,"Bombyx mori p50T DNA, chromosome 1, draft genome sequence, whole genome shotgun","Bombyx mori p50T DNA, chromosome 1, draft genome sequence, whole genome shotgun sequence",header
RF03782,"Pongo abelii isolate Susie chromosome 5, whole genome shotgun sequence","Pongo abelii isolate Susie chromosome 5, whole genome shotgun sequence",header
RF03789,"Medicago truncatula strain A17 chromosome 4, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 4, whole genome shotgun sequence",header
RF03790,"Solanum tuberosum unplaced genomic scaffold scf00349, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00349, whole genome shotgun sequence",header
RF03794,"Medicago truncatula strain A17 chromosome 7, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 7, whole genome shotgun sequence",header
RF03800,"Nomascus leucogenys unplaced genomic scaffold NLEUN_GL397501, whole genome shotg","Nomascus leucogenys unplaced genomic scaffold NLEUN_GL397501, whole genome shotgun sequence",header
RF03803,"Solanum tuberosum unplaced genomic scaffold scf00133, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00133, whole genome shotgun sequence",header
RF03813,"Solanum tuberosum unplaced genomic scaffold scf00081, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00081, whole genome shotgun sequence",header
RF03816,"Prunus dulcis genome assembly, chromosome: 2, whole genome shotgun sequence","Prunus dulcis genome assembly, chromosome: 2, whole genome shotgun sequence",header
RF03824,"Medicago truncatula strain A17 chromosome 1, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 1, whole genome shotgun sequence",header
RF03833,RF03833,RF03833,fallback
RF03839,"Medicago truncatula strain A17 chromosome 1, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 1, whole genome shotgun sequence",header
RF03840,RF03840,RF03840,fallback
RF03842,"Medicago truncatula strain A17 chromosome 1, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 1, whole genome shotgun sequence",header
RF03860,RF03860,RF03860,fallback
RF03869,"Bombyx mori p50T DNA, chromosome 17, draft genome sequence, whole genome shotgun","Bombyx mori p50T DNA, chromosome 17, draft genome sequence, whole genome shotgun sequence",header
RF03874,"Canis lupus familiaris isolate SID07034 breed Labrador retriever chromosome 12,","Canis lupus familiaris isolate SID07034 breed Labrador retriever chromosome 12, whole genome shotgun sequence",header
RF03875,RF03875,RF03875,fallback
RF03880,"Coturnix japonica isolate 7356 chromosome 4, whole genome shotgun sequence","Coturnix japonica isolate 7356 chromosome 4, whole genome shotgun sequence",header
RF03883,RF03883,RF03883,fallback
RF03896,RF03896,RF03896,fallback
RF03900,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_15, whole genome shotgun sequenc","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_15, whole genome shotgun sequence",header
RF03904,"Solanum tuberosum unplaced genomic scaffold scf00534, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00534, whole genome shotgun sequence",header
RF03915,"Medicago truncatula strain A17 chromosome 4, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 4, whole genome shotgun sequence",header
RF03926,"Sorghum bicolor cultivar BTx623 chromosome 2, whole genome shotgun sequence","Sorghum bicolor cultivar BTx623 chromosome 2, whole genome shotgun sequence",header
RF03935,"Sciurus carolinensis isolate SUZIE scaffold6792, whole genome shotgun sequence","Sciurus carolinensis isolate SUZIE scaffold6792, whole genome shotgun sequence",header
RF03940,"Brassica napus genomic scaffold, scaffold_973, whole genome shotgun sequence","Brassica napus genomic scaffold, scaffold_973, whole genome shotgun sequence",header
RF03956,RF03956,RF03956,fallback
RF03969,"Callithrix jacchus isolate mCalJac1 chromosome 18, whole genome shotgun sequence","Callithrix jacchus isolate mCalJac1 chromosome 18, whole genome shotgun sequence",header
RF03981,RF03981,RF03981,fallback
RF03983,RF03983,RF03983,fallback
RF03991,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_11, whole genome shotgun sequenc","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_11, whole genome shotgun sequence",header
RF04018,"Rhipicephalus microplus isolate Rmic-2018 Seq4115, whole genome shotgun sequence","Rhipicephalus microplus isolate Rmic-2018 Seq4115, whole genome shotgun sequence",header
RF04021,"Schistosoma japonicum isolate HuSjv2 scaffold_197, whole genome shotgun sequence","Schistosoma japonicum isolate HuSjv2 scaffold_197, whole genome shotgun sequence",header
RF04032,"Populus trichocarpa isolate Nisqually-1 chromosome 17, whole genome shotgun sequ","Populus trichocarpa isolate Nisqually-1 chromosome 17, whole genome shotgun sequence",header
RF04047,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_1, whole genome shotgun sequence","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_1, whole genome shotgun sequence",header
RF04051,"Plutella xylostella genome assembly, contig: Sc0000082, whole genome shotgun seq","Plutella xylostella genome assembly, contig: Sc0000082, whole genome shotgun sequence",header
RF04053,RF04053,RF04053,fallback
RF04054,RF04054,RF04054,fallback
RF04063,RF04063,RF04063,fallback
RF04064,RF04064,RF04064,fallback
RF04065,"Ameiurus melas isolate M_S1 chromosome 5, whole genome shotgun sequence","Ameiurus melas isolate M_S1 chromosome 5, whole genome shotgun sequence",header
RF04072,RF04072,RF04072,fallback
RF04074,RF04074,RF04074,fallback
RF04078,RF04078,RF04078,fallback
RF04085,RF04085,RF04085,fallback
RF04087,RF04087,RF04087,fallback
RF04088,RF04088,RF04088,fallback
RF04091,RF04091,RF04091,fallback
RF04093,"Gallus gallus isolate bGalGal1 chromosome 3, whole genome shotgun sequence","Gallus gallus isolate bGalGal1 chromosome 3, whole genome shotgun sequence",header
RF04097,RF04097,RF04097,fallback
RF04110,"Triticum aestivum genome assembly, chromosome: 1A","Triticum aestivum genome assembly, chromosome: 1A",header
RF04111,"Prunus persica cultivar Lovell chromosome G7, whole genome shotgun sequence","Prunus persica cultivar Lovell chromosome G7, whole genome shotgun sequence",header
RF04114,"Glycine max cultivar Williams 82 chromosome 18, whole genome shotgun sequence","Glycine max cultivar Williams 82 chromosome 18, whole genome shotgun sequence",header
RF04124,RF04124,RF04124,fallback
RF04126,RF04126,RF04126,fallback
RF04127,"Solanum tuberosum unplaced genomic scaffold scf00143, whole genome shotgun seque","Solanum tuberosum unplaced genomic scaffold scf00143, whole genome shotgun sequence",header
RF04130,"Solanum commersonii isolate LZ3.2 chromosome 6, whole genome shotgun sequence","Solanum commersonii isolate LZ3.2 chromosome 6, whole genome shotgun sequence",header
RF04134,RF04134,RF04134,fallback
RF04141,"Ectocarpus siliculosus strain Ec 32, whole genome shotgun sequence assembly, chr","Ectocarpus siliculosus strain Ec 32, whole genome shotgun sequence assembly, chromosome LG21",header
RF04142,"Homo sapiens chromosome 9, GRCh38 reference primary assembly","Homo sapiens chromosome 9, GRCh38 reference primary assembly",header
RF04150,RF04150,RF04150,fallback
RF04152,RF04152,RF04152,fallback
RF04155,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_7, whole genome shotgun sequence","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_7, whole genome shotgun sequence",header
RF04156,RF04156,RF04156,fallback
RF04158,RF04158,RF04158,fallback
RF04163,RF04163,RF04163,fallback
RF04172,"Gossypium laxum isolate 4 chromosome 2, whole genome shotgun sequence","Gossypium laxum isolate 4 chromosome 2, whole genome shotgun sequence",header
RF04175,RF04175,RF04175,fallback
RF04183,RF04183,RF04183,fallback
RF04188,RF04188,RF04188,fallback
RF04190,RF04190,RF04190,fallback
RF04195,"Sorghum bicolor cultivar BTx623 chromosome 4, whole genome shotgun sequence","Sorghum bicolor cultivar BTx623 chromosome 4, whole genome shotgun sequence",header
RF04200,"Nematostella vectensis NEMVEscaffold_4575 genomic scaffold, whole genome shotgun","Nematostella vectensis NEMVEscaffold_4575 genomic scaffold, whole genome shotgun sequence",header
RF04204,RF04204,RF04204,fallback
RF04205,"Medicago truncatula strain A17 chromosome 3, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 3, whole genome shotgun sequence",header
RF04210,"Gossypium raimondii chromosome 2, whole genome shotgun sequence","Gossypium raimondii chromosome 2, whole genome shotgun sequence",header
RF04212,"Vulpes vulpes strain TameXAggressive cross unplaced genomic scaffold, VulVul2.2","Vulpes vulpes strain TameXAggressive cross unplaced genomic scaffold, VulVul2.2 scaffold279, whole genome shotgun sequence",header
RF04215,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_9, whole genome shotgun sequence","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_9, whole genome shotgun sequence",header
RF04216,RF04216,RF04216,fallback
RF04219,RF04219,RF04219,fallback
RF04220,RF04220,RF04220,fallback
RF04221,RF04221,RF04221,fallback
RF04223,"Medicago truncatula strain A17 chromosome 8, whole genome shotgun sequence","Medicago truncatula strain A17 chromosome 8, whole genome shotgun sequence",header
RF04224,RF04224,RF04224,fallback
RF04225,RF04225,RF04225,fallback
RF04226,RF04226,RF04226,fallback
RF04227,RF04227,RF04227,fallback
RF04229,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_12, whole genome shotgun sequenc","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_12, whole genome shotgun sequence",header
RF04230,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_11, whole genome shotgun sequenc","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_11, whole genome shotgun sequence",header
RF04233,"Mus spicilegus strain ZRU musp714_scaffold_00013b, whole genome shotgun sequence","Mus spicilegus strain ZRU musp714_scaffold_00013b, whole genome shotgun sequence",header
RF04234,RF04234,RF04234,fallback
RF04236,RF04236,RF04236,fallback
RF04244,RF04244,RF04244,fallback
RF04247,RF04247,RF04247,fallback
RF04248,RF04248,RF04248,fallback
RF04249,RF04249,RF04249,fallback
RF04251,"Brachypodium distachyon strain Bd21 chromosome 1, whole genome shotgun sequence","Brachypodium distachyon strain Bd21 chromosome 1, whole genome shotgun sequence",header
RF04254,RF04254,RF04254,fallback
RF04257,"Myotis myotis isolate mMyoMyo1 scaffold_m19_p_12, whole genome shotgun sequence","Myotis myotis isolate mMyoMyo1 scaffold_m19_p_12, whole genome shotgun sequence",header
RF04261,RF04261,RF04261,fallback
RF04263,RF04263,RF04263,fallback
RF04266,RF04266,RF04266,fallback
RF04271,RF04271,RF04271,fallback
RF04272,RF04272,RF04272,fallback
RF04274,RF04274,RF04274,fallback
RF04275,RF04275,RF04275,fallback
RF04276,"Glycine max cultivar Williams 82 chromosome 7, whole genome shotgun sequence","Glycine max cultivar Williams 82 chromosome 7, whole genome shotgun sequence",header
RF04280,RF04280,RF04280,fallback
RF04282,RF04282,RF04282,fallback
RF04284,RF04284,RF04284,fallback
RF04285,RF04285,RF04285,fallback
RF04286,RF04286,RF04286,fallback
RF04287,"Eptesicus nilssonii isolate BLF_Eptnil Scaffold_17, whole genome shotgun sequenc","Eptesicus nilssonii isolate BLF_Eptnil Scaffold_17, whole genome shotgun sequence",header
RF04291,RF04291,RF04291,fallback
RF04292,RF04292,RF04292,fallback
RF04294,"Sus scrofa breed Duroc isolate TJ Tabasco Contig1914_1, whole genome shotgun seq","Sus scrofa breed Duroc isolate TJ Tabasco Contig1914_1, whole genome shotgun sequence",header
RF04295,RF04295,RF04295,fallback
RF04305,RF04305,RF04305,fallback
RF04306,RF04306,RF04306,fallback
RF04307,RF04307,RF04307,fallback
RF04308,RF04308,RF04308,fallback
RF04309,RF04309,RF04309,fallback
RF04311,RF04311,RF04311,fallback
RF04312,RF04312,RF04312,fallback
RF04314,RF04314,RF04314,fallback
RF04318,RF04318,RF04318,fallback
RF04319,RF04319,RF04319,fallback
RF04321,RF04321,RF04321,fallback
RF04326,RF04326,RF04326,fallback
RF04328,"Schizosaccharomyces japonicus yFS275 unplaced genomic scaffold supercont5.1, who","Schizosaccharomyces japonicus yFS275 unplaced genomic scaffold supercont5.1, whole genome shotgun sequence",header
RF04331,RF04331,RF04331,fallback
RF04332,RF04332,RF04332,fallback
RF04333,RF04333,RF04333,fallback
RF04334,RF04334,RF04334,fallback
RF04335,RF04335,RF04335,fallback
RF04336,RF04336,RF04336,fallback
RF04337,RF04337,RF04337,fallback
RF04338,RF04338,RF04338,fallback
RF04339,RF04339,RF04339,fallback
RF04340,RF04340,RF04340,fallback
RF04341,RF04341,RF04341,fallback
RF04342,RF04342,RF04342,fallback
RF04343,RF04343,RF04343,fallback
RF04344,RF04344,RF04344,fallback
RF04345,RF04345,RF04345,fallback
RF04346,RF04346,RF04346,fallback
RF04347,RF04347,RF04347,fallback
RF04348,RF04348,RF04348,fallback
RF04349,RF04349,RF04349,fallback
RF04350,RF04350,RF04350,fallback
RF04351,RF04351,RF04351,fallback
RF04352,RF04352,RF04352,fallback
RF04353,RF04353,RF04353,fallback
RF04354,RF04354,RF04354,fallback
RF04355,RF04355,RF04355,fallback
RF04356,RF04356,RF04356,fallback
RF04357,RF04357,RF04357,fallback
RF04358,RF04358,RF04358,fallback
RF04359,RF04359,RF04359,fallback
RF04360,RF04360,RF04360,fallback
